Weighted Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD/tonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,crop,crop category,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
UZB,Barley,Seasonal crops,84,65.3,80.4,64.5,52.3,35.3,45.1,53.6,46.3,45.8,63,69.9,73,87.3,149,125.3,92.3,116,125,158.5,127.2,109.5,76.6,101.8,100.8,122.9,132.9
UZB,Corn,Seasonal crops,202.1,132.2,101.6,109.8,84.8,58.5,65,72,70.8,68.2,91.1,103.5,107.5,123.1,176.8,157.8,153,184.8,194,200.7,163.6,155.6,114.2,114.9,113.7,153.1,177.4
UZB,Cotton,Seasonal crops,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,501.8,352.9,672.7,631.9,514.3,518.6,444.5,410.6,371.5,453.7,503.8,503.8,503.8
UZB,Grapes,Perennial crops,239.1,122.9,96.5,87.5,139.5,107.6,88.4,89.1,92.3,174.1,176.5,189.6,189.2,198.4,273.6,232.4,306.4,365.1,495.1,682.9,749.3,510.5,328.7,451.4,480.1,517.8,655.7
UZB,Oil seeds and pulses,Seasonal crops,35.97,53.82,48.75,26.07,37.73,15.27,16.09,16.18,34.28,38.62,35.92,37.29,42.73,43.56,93.05,130.16,119.08,148.62,161.92,192.8,141.57,126.16,109.7,82.57,70.18,85.05,100.22
UZB,Other crops,Seasonal crops,306.17,280.27,314.36,267.16,296.21,180.29,207.11,228.1,211.29,135.32,144.91,205.05,218.76,271.15,383.33,307.79,331.07,394.93,601.88,583.06,503.92,683.67,468.32,350.53,317.51,768.17,689.88
UZB,Other grains,Seasonal crops,49.63,40.3,38.31,25.5,16.92,15.8,14.26,9.12,13.85,6.66,9.91,19.23,21.5,23.06,40.21,36.9,37.12,72.98,80.57,89.79,66.52,54.81,37.75,78.27,107.56,131.58,114.09
UZB,Other orchards,Perennial crops,21.04,18.52,12.05,14.19,13.26,37.61,34.77,37.72,37.31,28.95,48.62,53.35,65.52,132.9,120.96,104.53,136.26,159.38,162.29,152.12,134.52,220.63,303.73,44.22,225.49,133.09,153.98
UZB,Potatoes,Seasonal crops,366,252.8,260.2,207.4,174.6,129.6,129.6,112.3,102.5,139.6,154.3,165.1,212.8,281.8,370.1,314,305.8,412.3,308.8,323.8,290.7,232.8,136,158,180.3,182.7,182.1
UZB,Rice,Seasonal crops,0,208.6,269.9,199.8,174.7,121.9,199.5,205.1,202.5,220,238.9,256.7,166,198.4,268.3,309,316,236.2,246.8,244.7,229.2,263.5,178,167.4,168.9,177,165.9
UZB,Sugar beet,Seasonal crops,85.3,81.9,46.2,35,34,21.7,18,17.6,18.6,18.7,23.9,29.2,36.2,56.6,62.3,54.4,64,70.5,67.3,72.1,40.8,41,34.6,44.8,33.5,21.1,23.1
UZB,Vegetables,Seasonal crops,437.26,244.99,246.43,252.61,279.97,94,102.82,111.95,111.32,108.88,126.1,136.45,161.13,205.97,199.4,193,161.01,218.51,191.69,185.44,156.56,137.1,72.54,76.18,113.67,124.07,102.52
UZB,Watermelons and squash,Seasonal crops,106.21,83.75,63.08,68.99,74.67,117.55,106.34,117.94,107.7,101.19,127,150.46,163.73,217.8,250.58,156.4,176.26,207.1,250.62,273.07,270.81,365,237.63,196.79,201.26,355.12,373.14
UZB,Wheat,Seasonal crops,104.3,91.3,116.8,96,72.2,50.5,69,77.2,63.1,80.7,107.1,97,97.2,136.9,224.3,174,148.1,197.8,180.5,207.1,169,150.3,105.1,117.4,116.3,160.9,189.2
